Test Date,Load Type,Source Table Name,Target Table Name,Source Count,Target Count,Verdict
2017-05-23,Full,AddressDim,AddressDim_CHCO_CDW_20170517103649796_19000101000000000_20170517103649796,1323470,1234378,Fail
2017-05-23,Full,AdmissionProfileDim,AdmissionProfileDim_CHCO_CDW_20170517103726296_19000101000000000_20170517103726296,157,157,Pass
2017-05-23,Full,AllergenDim,AllergenDim_CHCO_CDW_20170517103731546_19000101000000000_20170517103731546,50191,50191,Pass
2017-05-23,Full,AllergyFact,AllergyFact_CHCO_CDW_20170517103743265_19000101000000000_20170517103743265,1075259,989666,Fail
2017-05-23,Full,AllergyProfileDim,AllergyProfileDim_CHCO_CDW_20170517104108374_19000101000000000_20170517104108374,29,29,Pass
2017-05-23,Full,AppointmentProfileDim,AppointmentProfileDim_CHCO_CDW_20170517104112312_19000101000000000_20170517104112312,273,273,Pass
2017-05-23,Full,AttendingProviderFact,AttendingProviderFact_CHCO_CDW_20170517104115952_19000101000000000_20170517104115952,2078601,2046447,Fail
2017-05-23,Full,AttributeDim,AttributeDim_CHCO_CDW_20170517104925531_19000101000000000_20170517104925531,366855,366855,Pass
2017-05-23,Full,BillingAccountEncounterMappingFact,BillingAccountEncounterMappingFact_CHCO_CDW_20170517105038999_19000101000000000_20170517105038999,12778276,12296962,Fail
2017-05-23,Full,BillingAccountFact,BillingAccountFact_CHCO_CDW_20170517112700907_19000101000000000_20170517112700907,8665683,8404033,Fail
2017-05-23,Full,BillingAccountProfileDim,BillingAccountProfileDim_CHCO_CDW_20170517142206084_19000101000000000_20170517142206084,122,122,Pass
2017-05-23,Full,BillingAccountServiceProfileDim,BillingAccountServiceProfileDim_CHCO_CDW_20170517142214318_19000101000000000_20170517142214318,1233,1233,Pass
2017-05-23,Full,BillingAccountStatusProfileDim,BillingAccountStatusProfileDim_CHCO_CDW_20170517142220912_19000101000000000_20170517142220912,303,303,Pass
2017-05-23,Full,BillingProcedureDim,BillingProcedureDim_CHCO_CDW_20170517142227318_19000101000000000_20170517142227318,149544,145943,Fail
2017-05-23,Full,BillingProcedureSetDim,BillingProcedureSetDim_CHCO_CDW_20170517142341943_19000101000000000_20170517142341943,12678,11852,Fail
2017-05-23,Full,BillingTransactionChargeProfileDim,BillingTransactionChargeProfileDim_CHCO_CDW_20170517142352193_19000101000000000_20170517142352193,155835,155835,Pass
2017-05-23,Full,BillingTransactionProfileDim,BillingTransactionProfileDim_CHCO_CDW_20170517142439365_19000101000000000_20170517142439365,2222,2222,Pass
2017-05-23,Full,CareAreaDim,CareAreaDim_CHCO_CDW_20170517142446803_19000101000000000_20170517142446803,120,120,Pass
2017-05-23,Full,CareTeamFact,CareTeamFact_CHCO_CDW_20170517142453756_19000101000000000_20170517142453756,7426628,6097745,Fail
2017-05-23,Full,ChiefComplaintBridge,ChiefComplaintBridge_CHCO_CDW_20170517145829366_19000101000000000_20170517145829366,455103,455103,Pass
2017-05-23,Full,ChiefComplaintDim,ChiefComplaintDim_CHCO_CDW_20170517145916257_19000101000000000_20170517145916257,2884,2884,Pass
2017-05-23,Full,CodedProcedureFact,CodedProcedureFact_CHCO_CDW_20170517145931445_19000101000000000_20170517145931445,4585029,4585029,Pass
2017-05-23,Full,ContractBridge,ContractBridge_CHCO_CDW_20170517152023273_19000101000000000_20170517152023273,4,4,Pass
2017-05-23,Full,CostCenterDim,CostCenterDim_CHCO_CDW_20170517152031461_19000101000000000_20170517152031461,513,513,Pass
