Name,Description,Project,TestFolder,WorkProduct,Type,Priority,Method,Risk,PreConditions,PostConditions,ValidationInput,ValidationExpectedResult
Rowcount validation of CHCO source and GBQ target AddressDim table,Rowcount validation of AddressDim and AddressDim_CHCO_CDW_20170517103649796_19000101000000000_20170517103649796 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target AdmissionProfileDim table,Rowcount validation of AdmissionProfileDim and AdmissionProfileDim_CHCO_CDW_20170517103726296_19000101000000000_20170517103726296 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target AllergenDim table,Rowcount validation of AllergenDim and AllergenDim_CHCO_CDW_20170517103731546_19000101000000000_20170517103731546 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target AllergyFact table,Rowcount validation of AllergyFact and AllergyFact_CHCO_CDW_20170517103743265_19000101000000000_20170517103743265 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target AllergyProfileDim table,Rowcount validation of AllergyProfileDim and AllergyProfileDim_CHCO_CDW_20170517104108374_19000101000000000_20170517104108374 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target AppointmentProfileDim table,Rowcount validation of AppointmentProfileDim and AppointmentProfileDim_CHCO_CDW_20170517104112312_19000101000000000_20170517104112312 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target AttendingProviderFact table,Rowcount validation of AttendingProviderFact and AttendingProviderFact_CHCO_CDW_20170517104115952_19000101000000000_20170517104115952 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target AttributeDim table,Rowcount validation of AttributeDim and AttributeDim_CHCO_CDW_20170517104925531_19000101000000000_20170517104925531 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target BillingAccountEncounterMappingFact table,Rowcount validation of BillingAccountEncounterMappingFact and BillingAccountEncounterMappingFact_CHCO_CDW_20170517105038999_19000101000000000_20170517105038999 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target BillingAccountFact table,Rowcount validation of BillingAccountFact and BillingAccountFact_CHCO_CDW_20170517112700907_19000101000000000_20170517112700907 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
